,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
sub_0025,11.90913636,1.432595664,1.373842181,4.051741772,4.683769152,3.878159524,4.238198094,1.667905094,11.20282633,10.38953826,1.130526638,15.21570865,9.995654996,7.827469713,15.41417135,10.1872956,7.55924692,2.841921974,7.255368376,7.83843135,1.065699511,4.092216502,4.048242077,0.430620068,0.521301093,0.495088137
sub_0026,11.22888438,1.17171695,1.515103363,3.424139515,3.239160479,4.167900995,4.504563508,1.766061642,9.834333173,9.159205732,0.738778696,14.43075539,8.532920545,7.055008571,14.39324569,7.778099937,7.84225146,2.090410771,6.40502662,5.932829638,0.967303693,3.45578302,3.406360697,0.332359545,0.466114153,0.436773762
sub_0027,10.76809914,1.100232469,1.299860235,4.315773786,4.262232806,4.040483855,4.372200128,1.858256432,9.647453459,8.136167433,0.698661905,15.29039992,7.861175299,4.8749586,13.6029972,7.216517911,6.806028397,1.655594261,3.530709032,4.302013714,0.830833933,3.305389888,3.779144417,0.292218885,0.537628038,0.456085808
sub_0028,10.68209106,1.239558958,1.269595241,4.070278024,4.317236578,4.265106071,3.754809248,1.517604869,8.813421738,10.67010084,1.14915684,16.14739076,10.13219335,7.420844285,16.08139991,8.291287377,7.726812234,2.032481306,5.833160968,7.293688848,1.077667598,3.533643767,3.549055105,0.420208738,0.54343665,0.575715673
sub_0029,13.5439912,0.870833753,0.881012231,3.607851432,3.997313805,3.591215826,3.646244578,1.516273793,9.426793516,8.739671716,1.100094753,14.03661579,6.232958679,6.323100771,14.47080236,5.661802131,8.073457663,2.071061441,10.14984958,8.922664093,0.926050044,3.129903636,2.96709502,0.426794454,0.459127181,0.513561658
sub_0030,12.00474034,1.427809368,1.368818025,4.095491651,4.676794448,3.871097603,4.266836928,1.651179287,11.29579456,10.4681085,1.142140152,15.11025217,10.10658522,7.910006993,15.26799761,10.25688618,7.481695712,2.830042768,7.285686457,8.026990767,1.044099404,4.084416985,4.059745591,0.434861506,0.523440949,0.492276664
sub_0031,14.24591152,1.192947084,1.088397164,3.717164647,3.729878284,4.384279648,4.408719794,1.70750216,8.183399862,8.895279849,1.091067869,14.091825,8.596224866,7.742158282,14.96423467,8.032043978,9.755039818,1.891805121,9.229390922,7.903215606,0.983611909,2.948054254,3.64498107,0.394501336,0.465531758,0.567576826
sub_0032,12.34343173,1.329811226,1.358296865,4.383924613,3.89352686,4.868852295,4.362782885,1.667054175,10.88371044,10.38569189,0.992752149,17.53959027,10.9511264,6.840171033,18.88421195,9.231975316,9.737985392,2.612776328,8.389273332,7.102781093,0.951898555,4.060769934,3.963923903,0.419828294,0.50882967,0.535928211
sub_0033,10.29524742,1.011203344,1.051639449,3.55623756,3.715581015,3.478224812,3.403862247,1.544561495,7.598167715,7.3540371,0.987405961,10.57017716,8.085894867,6.068182487,10.72594135,8.401584386,6.883166085,1.779291934,7.257015146,7.33770705,0.942476246,3.32757898,2.979221733,0.300469601,0.478301733,0.513438086
sub_0034,10.98671865,1.387911394,1.537980684,4.441628397,3.933901542,4.17094846,4.986628991,1.692346376,11.15528489,10.36156589,1.113028941,13.13581635,9.559504419,7.510337418,14.18957856,10.22059766,8.623859566,2.086105354,7.867764641,7.257494111,0.905169782,3.914158215,3.820039204,0.390078504,0.493946069,0.552648749
